speaker,start_time,end_time,text
Hans Mueller,189.8,195.7,Deutschland setzt auf Wind- und Solarenergie.
Μαρία Παπαδοπούλου,196.0,197.7,"Ναι, ναι."
Pierre Dubois,198.8,203.1,Nous devons protéger les plus vulnérables.
Μαρία Παπαδοπούλου,204.0,205.6,Ενδιαφέρον...
Pierre Dubois,206.9,210.1,Vous avez raison.
Hans Mueller,211.4,216.9,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,218.2,224.9,La France mise sur le nucléaire décarboné.
Μαρία Παπαδοπούλου,226.0,230.2,Πώς θα επηρεαστούν οι αγρότες;
Pierre Dubois,231.5,234.4,Avez-vous des preuves scientifiques?
Carmen Lopez,235.1,238.2,No estoy de acuerdo en absoluto.
Μαρία Παπαδοπούλου,239.3,244.2,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
John Smith,244.4,251.1,I believe we I mean must reduce emissions now.
Pierre Dubois,251.5,256.6,Nous devons protéger les plus vulnérables.
Hans Mueller,257.8,259.8,Haben Sie Beweise dafür?
Pierre Dubois,259.9,264.1,"Exactement, c'est ce que je disais."
John Smith,265.0,268.0,I disagree with that approach entirely.
Carmen Lopez,268.1,273.7,España apuesta por la energía solar.
Pierre Dubois,274.5,278.1,Avez-vous des preuves scientifiques?
Carmen Lopez,279.4,285.2,"mmm, España apuesta por la energía solar."
Pierre Dubois,286.0,288.6,Comment bah financer cela?
Hans Mueller,289.8,294.8,Das äh ist zu teuer und nicht umsetzbar.
Carmen Lopez,294.9,296.5,Vale.
John Smith,297.9,303.8,Perhaps we could consider carbon capture technology.
Carmen Lopez,305.0,310.1,"bueno, Quizás deberíamos fomentar el transporte público."
Pierre Dubois,310.7,316.9,"bah, Et si on investissait dans les transports en commun?"
John Smith,317.6,321.3,I uh believe we must reduce emissions now.
Carmen Lopez,321.4,323.6,Tiene razón.
John Smith,325.0,328.3,That doesn't make sense.
Hans Mueller,329.4,331.3,Sie haben recht.
Pierre Dubois,332.7,339.3,La France mise sur le nucléaire décarboné.
Μαρία Παπαδοπούλου,339.4,340.4,"Ναι, ναι."
Carmen Lopez,341.6,344.3,Tiene razón.
Pierre Dubois,345.8,348.2,Je ne suis pas d'accord avec cette méthode.
Μαρία Παπαδοπούλου,348.3,355.0,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Pierre Dubois,355.5,359.2,Quel impact sur l'emploi?
John Smith,360.4,365.7,Do we have enough data to support this?
Pierre Dubois,367.1,370.9,Comment financer cela?
Hans Mueller,371.4,370.8,Interessant...
John Smith,370.9,377.4,Perhaps we could consider carbon capture technology.
Carmen Lopez,378.7,384.3,Creo que debemos reducir las emisiones ya.
Μαρία Παπαδοπούλου,385.5,388.2,Έχετε δίκιο.
John Smith,389.5,395.9,Perhaps we could consider carbon capture technology.
Pierre Dubois,397.1,402.3,Je pense qu'il faut réduire les émissions immédiatement.
Carmen Lopez,403.6,405.5,"o sea, Tiene razón."
Pierre Dubois,406.7,414.2,"bah, Et si on investissait dans les transports en commun?"
Carmen Lopez,414.8,416.7,Tiene razón.
John Smith,417.3,423.0,"We need a global approach, not just European."
Pierre Dubois,423.4,426.5,"Exactement, c'est hein ce que je disais."
John Smith,427.8,432.6,Perhaps we could consider carbon capture technology.
Pierre Dubois,432.7,436.2,Comment financer euh cela?
Carmen Lopez,437.0,439.2,¿Cómo financiamos esto?
Μαρία Παπαδοπούλου,439.3,442.5,"εμ..., Πώς θα επηρεαστούν οι αγρότες;"
Pierre Dubois,443.5,447.6,Nous devons protéger les plus hein vulnérables.
Carmen Lopez,448.6,450.3,"Exactamente, eso digo yo."
Μαρία Παπαδοπούλου,450.4,456.7,"εεε, Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές."
Hans Mueller,457.0,459.6,Das sehe quasi ich anders.
John Smith,460.4,466.5,Perhaps we could consider carbon capture technology.
Hans Mueller,467.9,469.8,Deutschland setzt auf Wind- und quasi Solarenergie.
Carmen Lopez,469.9,475.0,No estoy de acuerdo con esa política.
Μαρία Παπαδοπούλου,475.1,480.7,Οι τοπικές κοινωνίες χρειάζονται οικονομική λοιπόν στήριξη.
John Smith,482.1,487.9,The UK is investing heavily in offshore wind.
Carmen Lopez,488.6,495.6,No estoy de acuerdo con esa política.
Μαρία Παπαδοπούλου,496.7,501.7,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
Hans Mueller,503.0,505.1,Sie haben recht.
Μαρία Παπαδοπούλου,506.3,511.8,"χμμ, Μήπως να εξετάσουμε και την κοινωνική διάσταση;"
Hans Mueller,513.3,516.2,"hmm, Haben Sie Beweise dafür?"
Pierre Dubois,516.5,522.0,Nous devons protéger les plus vulnérables.
Μαρία Παπαδοπούλου,522.9,523.5,Συμφωνώ απόλυτα.
Carmen Lopez,523.6,527.6,España apuesta por la energía pues solar.
Μαρία Παπαδοπούλου,527.7,531.2,Πώς θα επηρεαστούν οι αγρότες;
John Smith,531.6,538.7,Perhaps we could consider carbon capture technology.
Pierre Dubois,539.1,541.4,C'est impossible.
Carmen Lopez,542.5,545.9,¿Qué impacto tendrá en el empleo?
John Smith,547.2,553.1,The UK is I mean investing heavily in offshore wind.
Carmen Lopez,553.5,554.4,"Sí, sí."
Hans Mueller,555.5,556.7,"Ja, genau."
John Smith,557.8,563.0,Perhaps we could consider carbon capture technology.
Μαρία Παπαδοπούλου,564.5,569.1,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Carmen Lopez,569.2,573.4,Creo que debemos reducir las emisiones ya.
Μαρία Παπαδοπούλου,573.5,577.1,Πώς θα εμ... επηρεαστούν οι αγρότες;
Carmen Lopez,577.6,582.9,España apuesta por la energía solar.
John Smith,583.5,587.8,How do we finance this?
Μαρία Παπαδοπούλου,588.9,591.2,"Ακριβώς, αυτό εννοούσα."
John Smith,591.8,595.8,What about developing you know countries?
Μαρία Παπαδοπούλου,596.9,601.5,Δεν συμφωνώ με αυτή την προσέγγιση.
Hans Mueller,602.7,609.3,Das ist zu teuer und nicht umsetzbar.
John Smith,610.4,614.3,How do we finance this?
Hans Mueller,615.3,620.6,"Ich glaube, wir müssen die Emissionen sofort senken."
Μαρία Παπαδοπούλου,621.5,626.2,Οι τοπικές κοινωνίες λοιπόν χρειάζονται οικονομική στήριξη.
Pierre Dubois,626.3,630.5,Quel impact enfin sur l'emploi?
Hans Mueller,631.2,638.2,Das ist zu teuer und nicht umsetzbar.
Μαρία Παπαδοπούλου,639.3,643.0,Τι προτείνετε για τη χρηματοδότηση;
John Smith,644.4,646.0,How do we finance this?
Hans Mueller,646.1,652.9,Das ist zu teuer und nicht umsetzbar.
Μαρία Παπαδοπούλου,653.6,655.6,Συμφωνώ απόλυτα.
Carmen Lopez,656.9,663.4,España apuesta por la energía solar.
Pierre Dubois,664.2,665.3,"Oui, oui."
John Smith,666.7,667.8,Interesting...
Μαρία Παπαδοπούλου,668.1,671.1,Συμφωνώ απόλυτα.
Hans Mueller,671.5,672.6,"Ja, genau."
Μαρία Παπαδοπούλου,673.0,676.3,"λοιπόν, Μήπως να εξετάσουμε και την κοινωνική διάσταση;"
Hans Mueller,676.4,679.2,Wie finanzieren wir das?
Μαρία Παπαδοπούλου,679.3,681.7,"ας πούμε, Πώς θα επηρεαστούν οι αγρότες;"
Carmen Lopez,681.8,687.3,Creo que debemos reducir las emisiones ya.
Hans Mueller,688.4,694.4,"Ich glaube, wir müssen die Emissionen sofort senken."
Μαρία Παπαδοπούλου,694.5,695.8,"Ναι, ναι."
Carmen Lopez,695.9,696.9,Vale.
Pierre Dubois,697.2,698.9,Vous avez raison.
Hans Mueller,699.0,700.7,Das sehe ich anders.
Carmen Lopez,700.8,703.3,Totalmente de acuerdo.
John Smith,703.4,704.5,Interesting...
Pierre Dubois,705.7,711.2,Je ne suis pas d'accord avec cette méthode.
Μαρία Παπαδοπούλου,712.3,717.3,"χμμ, Μήπως να εξετάσουμε και την κοινωνική διάσταση;"
Hans Mueller,718.5,721.8,Ich stimme vollkommen zu.
Μαρία Παπαδοπούλου,722.0,725.9,Οι τοπικές κοινωνίες ας πούμε χρειάζονται οικονομική στήριξη.
Carmen Lopez,726.1,727.4,Interesante...
Hans Mueller,728.6,731.4,Ich stimme vollkommen zu.
Μαρία Παπαδοπούλου,732.5,736.7,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Carmen Lopez,736.8,737.2,Tiene razón.
John Smith,737.3,741.8,"We need a global approach, not just European."
Pierre Dubois,743.0,747.7,"euh, La France mise sur le nucléaire décarboné."
Carmen Lopez,747.8,753.1,España apuesta por la energía solar.
Μαρία Παπαδοπούλου,754.0,756.9,Συμφωνώ απόλυτα.
Carmen Lopez,758.1,761.4,¿Qué impacto tendrá en el empleo?
Pierre Dubois,762.4,763.3,D'accord.
Carmen Lopez,763.6,766.7,Hay que apoyar a las regiones mineras.
Hans Mueller,766.8,772.3,Wir brauchen einen fairen Übergang für die Industrie.
Μαρία Παπαδοπούλου,773.5,776.8,"εεε, Τι προτείνετε για τη χρηματοδότηση;"
Carmen Lopez,777.4,783.1,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,784.3,787.4,Comment financer cela?
John Smith,788.4,794.2,"We like need a global approach, not just European."
Μαρία Παπαδοπούλου,795.6,800.9,Μήπως να εξετάσουμε και την κοινωνική διάσταση;
Hans Mueller,801.8,804.3,Das ist doch unrealistisch.
Carmen Lopez,805.4,810.2,"pues, ¿Qué impacto tendrá en el empleo?"
Hans Mueller,811.2,814.0,Das sehe ich anders.
John Smith,814.7,816.0,Right.
Hans Mueller,817.1,820.7,Ich stimme vollkommen zu.
Pierre Dubois,821.9,827.2,Je pense qu'il faut réduire les émissions immédiatement.
Μαρία Παπαδοπούλου,827.7,833.0,"ας πούμε, Δεν συμφωνώ με αυτή την προσέγγιση."
Carmen Lopez,834.1,836.7,¿Cómo eh financiamos esto?
Hans Mueller,837.9,842.2,Deutschland setzt auf Wind- und Solarenergie.
Pierre Dubois,842.7,848.3,Je pense qu'il faut réduire les émissions immédiatement.
John Smith,849.0,853.5,I disagree you know with that approach entirely.
Carmen Lopez,853.9,854.3,Tiene razón.
Hans Mueller,854.4,860.7,"Ich glaube, wir müssen die Emissionen sofort senken."
Μαρία Παπαδοπούλου,861.1,864.5,Τι προτείνετε για τη χρηματοδότηση;
Pierre Dubois,865.2,871.8,Nous devons protéger les plus vulnérables.
Carmen Lopez,872.1,876.9,Hay que apoyar a las regiones mineras.
Pierre Dubois,877.7,881.9,La France mise sur le nucléaire décarboné.
Carmen Lopez,882.2,883.1,Totalmente de pues acuerdo.
Pierre Dubois,883.2,886.2,Comment financer cela?
Carmen Lopez,887.3,893.3,Creo que debemos reducir las emisiones ya.
Μαρία Παπαδοπούλου,893.6,899.7,Η Ελλάδα έχει εεε τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Hans Mueller,900.9,903.2,"Genau, das meine ich auch."
Μαρία Παπαδοπούλου,903.3,905.7,Μα αυτό είναι ανέφικτο.
John Smith,907.2,914.1,The UK is investing heavily in offshore wind.
Hans Mueller,914.3,920.8,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,922.3,928.9,Nous devons protéger les plus vulnérables.
John Smith,929.6,930.5,Interesting...
Pierre Dubois,931.3,934.7,Quel impact sur l'emploi?
John Smith,935.9,941.8,I disagree with that approach entirely.
Μαρία Παπαδοπούλου,942.2,947.9,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Hans Mueller,948.7,949.7,Interessant...
Pierre Dubois,951.1,956.2,Nous devons protéger les plus vulnérables.
Carmen Lopez,956.9,957.4,¿Cómo financiamos esto?
Hans Mueller,957.5,963.8,Deutschland setzt auf Wind- und Solarenergie.
Pierre Dubois,964.0,968.9,Nous devons protéger les plus vulnérables.
Carmen Lopez,969.5,974.9,Hay que apoyar a pues las regiones mineras.
Μαρία Παπαδοπούλου,975.6,976.8,Μάλιστα.
John Smith,977.9,981.2,I disagree with that approach entirely.
Hans Mueller,981.3,984.7,Wie finanzieren wir das?
John Smith,985.8,991.5,I believe we must reduce emissions like now.
Hans Mueller,992.7,997.5,Vielleicht sollten wir die Kernenergie nicht ausschließen.
Carmen Lopez,998.3,999.6,Interesante...
Hans Mueller,1000.7,1005.3,"Ich glaube, wir müssen die Emissionen sofort senken."
Carmen Lopez,1006.3,1009.1,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,1009.2,1012.9,"donc, Avez-vous des preuves scientifiques?"
Μαρία Παπαδοπούλου,1014.0,1018.3,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
John Smith,1018.9,1023.9,"We need a global approach, not just European."
Μαρία Παπαδοπούλου,1024.3,1030.5,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
John Smith,1030.8,1035.0,Perhaps we could consider carbon capture technology.
Pierre Dubois,1035.8,1041.7,Et si on investissait dans les transports en commun?
John Smith,1042.8,1048.6,"We need a global approach, not just European."
Μαρία Παπαδοπούλου,1049.1,1052.7,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
John Smith,1052.8,1059.4,"We need a global approach, not just European."
Pierre Dubois,1059.9,1065.3,Je pense qu'il faut réduire les émissions immédiatement.
Μαρία Παπαδοπούλου,1066.0,1067.8,"Ναι, ναι."
Pierre Dubois,1068.7,1075.6,"donc, Et si on investissait dans les transports en commun?"
John Smith,1076.1,1078.5,You're right.
Μαρία Παπαδοπούλου,1079.3,1083.0,Υπάρχουν στοιχεία που να το υποστηρίζουν;
Hans Mueller,1083.1,1085.8,Das ist doch unrealistisch.
Pierre Dubois,1086.4,1089.1,Vous avez raison.
Μαρία Παπαδοπούλου,1089.7,1093.3,Τι προτείνετε για τη χρηματοδότηση;
Pierre Dubois,1093.9,1097.2,"euh, Avez-vous des preuves scientifiques?"
Carmen Lopez,1097.8,1101.0,¿Hay datos que lo respalden?
Pierre Dubois,1102.1,1109.3,Et si on investissait dans les transports en commun?
Μαρία Παπαδοπούλου,1110.4,1113.8,Δεν νομίζω ότι είναι έτσι.
Hans Mueller,1115.0,1122.3,Wir brauchen einen fairen Übergang für die Industrie.
Μαρία Παπαδοπούλου,1123.5,1129.5,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Pierre Dubois,1129.7,1130.5,Intéressant...
Hans Mueller,1131.8,1135.5,"Genau, das meine ich auch."
Μαρία Παπαδοπούλου,1136.6,1141.3,Μήπως να εξετάσουμε και την κοινωνική διάσταση;
John Smith,1142.0,1148.5,I disagree with that approach entirely.
Pierre Dubois,1150.0,1157.0,"enfin, La France mise sur le nucléaire décarboné."
John Smith,1158.4,1163.2,I disagree with that approach entirely.
Pierre Dubois,1164.7,1168.4,Avez-vous des preuves scientifiques?
Hans Mueller,1169.2,1174.2,Welche Auswirkungen hat das auf die hmm Arbeitsplätze?
John Smith,1175.2,1180.0,"We need a global approach, not just European."
Hans Mueller,1180.8,1185.5,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,1185.9,1186.9,Intéressant...
Carmen Lopez,1187.0,1189.1,Tiene razón.
Hans Mueller,1190.6,1196.3,"Ich also glaube, wir müssen die Emissionen sofort senken."
Carmen Lopez,1196.4,1200.8,¿Hay datos que lo respalden?
Μαρία Παπαδοπούλου,1201.7,1206.4,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
Pierre Dubois,1207.0,1212.2,Je ne suis pas d'accord avec cette méthode.
John Smith,1213.1,1219.4,I believe we must reduce emissions now.
Hans Mueller,1219.7,1226.3,Das ist zu teuer und nicht umsetzbar.
Pierre Dubois,1227.1,1232.5,"enfin, Je ne suis pas d'accord avec cette méthode."
John Smith,1233.0,1235.3,I strongly disagree.
Carmen Lopez,1236.5,1240.1,"Exactamente, eso digo yo."
Pierre Dubois,1241.6,1244.5,Tout à fait d'accord.
Carmen Lopez,1245.5,1251.6,España apuesta por la energía solar.
John Smith,1251.9,1256.5,"We need a global approach, not just European."
Hans Mueller,1257.3,1261.2,Deutschland setzt auf Wind- und Solarenergie.
Carmen Lopez,1261.3,1262.4,Interesante...
John Smith,1262.6,1265.2,You're right.
Μαρία Παπαδοπούλου,1266.3,1270.6,Μήπως να εξετάσουμε και την κοινωνική διάσταση;
Hans Mueller,1271.2,1278.6,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,1279.4,1284.9,Je ne suis pas d'accord avec cette méthode.
Carmen Lopez,1286.4,1290.2,"o sea, Lo veo de otra manera."
Hans Mueller,1291.7,1298.0,Deutschland setzt auf Wind- und Solarenergie.
Carmen Lopez,1298.6,1303.1,España apuesta por la energía solar.
Μαρία Παπαδοπούλου,1304.3,1304.4,Ενδιαφέρον...
Hans Mueller,1304.5,1307.4,Wie naja finanzieren wir das?
Carmen Lopez,1307.8,1311.3,¿Cómo financiamos esto?
Hans Mueller,1312.4,1317.5,Vielleicht sollten wir die Kernenergie nicht ausschließen.
John Smith,1317.8,1322.6,Perhaps we could consider carbon capture technology.
Hans Mueller,1323.3,1329.1,Das ist zu teuer und nicht quasi umsetzbar.
Carmen Lopez,1330.4,1331.5,Totalmente de acuerdo.
Hans Mueller,1331.6,1336.5,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,1336.6,1340.3,Quel impact sur l'emploi?
Hans Mueller,1341.3,1342.9,"Ja, genau."
Pierre Dubois,1343.7,1350.6,Et si on investissait dans les transports en commun?
John Smith,1351.0,1354.3,I strongly disagree.
Carmen Lopez,1354.8,1360.7,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,1362.0,1364.4,Vous avez raison.
Carmen Lopez,1365.1,1371.9,Hay que apoyar a las regiones mineras.
Hans Mueller,1372.9,1378.1,"Ich glaube, wir müssen die Emissionen sofort senken."
Pierre Dubois,1378.9,1381.9,Comment financer cela?
John Smith,1382.7,1386.8,What about developing countries?
Pierre Dubois,1387.7,1391.2,Avez-vous hein des preuves scientifiques?
Μαρία Παπαδοπούλου,1392.5,1399.2,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Pierre Dubois,1399.5,1400.7,Intéressant...
Carmen Lopez,1400.9,1405.0,Creo que debemos reducir las emisiones ya.
Pierre Dubois,1406.1,1410.0,Nous devons protéger les plus vulnérables.
Hans Mueller,1410.5,1414.0,Wie finanzieren naja wir das?
John Smith,1414.5,1418.5,I disagree with that approach entirely.
Μαρία Παπαδοπούλου,1418.6,1423.3,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Hans Mueller,1424.5,1430.4,"Ich glaube, wir müssen die Emissionen sofort senken."
Μαρία Παπαδοπούλου,1431.5,1436.6,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
John Smith,1437.2,1438.6,Right.
Μαρία Παπαδοπούλου,1440.0,1443.0,Πώς θα επηρεαστούν οι λοιπόν αγρότες;
Pierre Dubois,1443.7,1450.1,Je ne suis pas d'accord avec cette méthode.
Μαρία Παπαδοπούλου,1451.4,1455.4,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
Carmen Lopez,1456.1,1458.7,"bueno, Hay que apoyar a las regiones mineras."
John Smith,1458.8,1462.4,"I mean, Do we have enough data to support this?"
Pierre Dubois,1462.5,1465.7,"bah, Avez-vous des preuves scientifiques?"
John Smith,1465.8,1467.9,I strongly you know disagree.
Μαρία Παπαδοπούλου,1468.2,1472.7,"εμ..., Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη."
Pierre Dubois,1472.8,1479.0,"enfin, La France mise sur le nucléaire décarboné."
Carmen Lopez,1480.0,1484.0,¿Qué impacto tendrá en o sea el empleo?
Μαρία Παπαδοπούλου,1485.0,1489.4,Τι προτείνετε για τη χρηματοδότηση;
John Smith,1490.2,1493.6,Exactly like my point.
Carmen Lopez,1495.1,1501.4,Hay que apoyar a las regiones mineras.
Pierre Dubois,1501.9,1504.0,C'est impossible.
Hans Mueller,1505.4,1509.6,Vielleicht sollten wir die Kernenergie nicht ausschließen.
John Smith,1510.3,1516.9,I believe we must reduce emissions now.
Pierre Dubois,1517.6,1520.5,Avez-vous des preuves scientifiques?
Carmen Lopez,1521.6,1526.9,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,1527.2,1533.7,Et si on investissait dans les transports en commun?
John Smith,1534.8,1538.8,Do we have enough data to support this?
Pierre Dubois,1539.7,1543.3,Je ne suis pas d'accord donc avec cette méthode.
Hans Mueller,1543.4,1546.8,"Genau, das meine ich auch."
Μαρία Παπαδοπούλου,1547.2,1550.4,Τι προτείνετε για τη χρηματοδότηση;
Carmen Lopez,1551.2,1556.4,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,1556.7,1558.2,D'accord.
Μαρία Παπαδοπούλου,1559.1,1566.3,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
John Smith,1566.7,1571.2,I disagree with that approach entirely.
Carmen Lopez,1571.4,1574.9,No estoy de acuerdo en absoluto.
Pierre Dubois,1575.8,1581.9,Je pense qu'il faut réduire les émissions immédiatement.
Hans Mueller,1582.9,1585.6,Sie haben recht.
Μαρία Παπαδοπούλου,1586.8,1589.3,Μα αυτό είναι ανέφικτο.
Hans Mueller,1589.7,1594.5,Wir brauchen einen fairen Übergang für die Industrie.
Carmen Lopez,1595.4,1597.6,Tiene razón.
Hans Mueller,1599.0,1604.0,Das ist zu hmm teuer und nicht umsetzbar.
Pierre Dubois,1605.1,1611.3,Et si on investissait dans les transports en commun?
Carmen Lopez,1612.2,1615.3,"eh, Totalmente de acuerdo."
John Smith,1616.2,1621.6,"um, I disagree with that approach entirely."
Μαρία Παπαδοπούλου,1621.9,1627.3,Δεν συμφωνώ με αυτή την προσέγγιση.
Pierre Dubois,1628.6,1631.7,Comment financer cela?
Μαρία Παπαδοπούλου,1632.8,1637.8,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Carmen Lopez,1639.0,1642.6,¿Cómo financiamos esto?
Pierre Dubois,1643.2,1646.9,La France mise sur le nucléaire décarboné.
Μαρία Παπαδοπούλου,1647.0,1651.4,Πώς θα επηρεαστούν οι αγρότες;
Pierre Dubois,1652.4,1655.6,"bah, Avez-vous des preuves scientifiques?"
Carmen Lopez,1656.7,1657.3,Totalmente de acuerdo.
John Smith,1657.4,1663.5,"We need a global approach, not just European."
Carmen Lopez,1664.2,1670.9,Hay que apoyar a las regiones mineras.
Hans Mueller,1671.8,1672.8,Sie haben recht.
John Smith,1672.9,1677.1,I believe we must reduce emissions now.
Hans Mueller,1677.5,1679.7,Sie haben recht.
Pierre Dubois,1680.0,1684.1,Nous devons protéger les plus vulnérables.
Hans Mueller,1685.2,1684.6,Interessant...
Μαρία Παπαδοπούλου,1684.7,1687.8,"χμμ, Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα."
John Smith,1687.9,1693.8,I disagree with that approach entirely.
Μαρία Παπαδοπούλου,1694.1,1698.4,Πώς θα λοιπόν επηρεαστούν οι αγρότες;
Pierre Dubois,1699.4,1703.0,Je vois les choses autrement.
Hans Mueller,1703.4,1704.4,Ach so.
John Smith,1705.4,1712.2,"um, We need a global approach, not just European."
Pierre Dubois,1712.8,1719.7,Je pense qu'il faut réduire les émissions immédiatement.
Hans Mueller,1720.9,1727.2,Wir brauchen einen fairen Übergang für die Industrie.
Carmen Lopez,1727.6,1730.7,¿Qué impacto tendrá eh en el empleo?
John Smith,1730.8,1734.4,That doesn't make sense.
Pierre Dubois,1735.0,1738.8,Comment financer cela?
Carmen Lopez,1739.4,1742.4,"Exactamente, eso digo yo."
Hans Mueller,1743.4,1748.2,Deutschland setzt auf Wind- und Solarenergie.
Μαρία Παπαδοπούλου,1748.3,1750.0,"εμ..., Συμφωνώ απόλυτα."
Pierre Dubois,1750.9,1752.5,Avez-vous des preuves bah scientifiques?
John Smith,1752.6,1756.0,How do we finance this?
Μαρία Παπαδοπούλου,1756.1,1758.1,"Ακριβώς, αυτό εννοούσα."
Carmen Lopez,1758.8,1764.4,Creo que debemos reducir las emisiones ya.
Μαρία Παπαδοπούλου,1764.7,1769.8,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Pierre Dubois,1770.2,1771.5,"Oui, oui."
Μαρία Παπαδοπούλου,1771.8,1776.3,"ας πούμε, Δεν συμφωνώ με αυτή την προσέγγιση."
Hans Mueller,1776.6,1780.8,Haben Sie Beweise dafür?
John Smith,1781.0,1786.4,"We need a global approach, not just European."
Pierre Dubois,1787.2,1792.7,La France mise sur le nucléaire décarboné.
Hans Mueller,1793.2,1799.6,Vielleicht äh sollten wir die Kernenergie nicht ausschließen.
